image,ball,compression,launch,spin,peakHeight,distance,color,raw compression,raw launch,raw spin,raw peakHeight,raw distance,,compression,launch,spin,peakHeight,distance
http://golf-eq.com/wp-content/uploads/2022/03/bridgestoneTourBRXSGolfBall.jpeg,Bridgestone Tour B RXS,5,9.31372549,5.907029478,6.220016543,5,black,71,13.17,2296,79.09,245,,min,min,min,min,min
http://golf-eq.com/wp-content/uploads/2022/03/bridgestoneTourBXGolfBall.jpeg,Bridgestone Tour B X,9.35483871,6.862745098,7.925170068,8.498759305,7.296296296,black,98,12.92,2474,84.6,248.72,,71,12.73,2216,76.14,245
http://golf-eq.com/wp-content/uploads/2022/03/bridgestoneTourBXSGolfBall.jpeg,Bridgestone Tour B XS,7.419354839,7.450980392,7.040816327,6.00082713,8.209876543,black,86,12.98,2396,78.56,250.2,,max,max,max,max,max
http://golf-eq.com/wp-content/uploads/2022/03/callawayChromeSoftGolfBAll.jpeg,Callaway Chrome Soft,5.64516129,7.254901961,6.462585034,5.554177006,5.956790123,green,75,12.96,2345,77.48,246.55,,102,13.24,2657,88.23,253.1
http://golf-eq.com/wp-content/uploads/2022/03/callawayChromeSoftXGolfBall.jpeg,Callaway Chrome Soft X,8.870967742,6.274509804,10,7.94044665,8.561728395,green,95,12.86,2657,83.25,250.77,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/callawayChromeSoftXLSGolfBall.jpeg,Callaway Chrome Soft X LS,9.677419355,6.666666667,8.684807256,7.915632754,10,green,100,12.9,2541,83.19,253.1,,5,,,,
http://golf-eq.com/wp-content/uploads/2022/03/oncoreElixrGolfBall.png,OnCore ELIXR,6.129032258,6.960784314,8.333333333,8.866832093,7.290123457,gold,78,12.93,2510,85.49,248.71,,10,,,,
http://golf-eq.com/wp-content/uploads/2022/03/oncoreVeroX1GolfBall.png,OnCore VERO X1,6.612903226,7.647058824,5.045351474,8.271298594,6.080246914,gold,81,13,2220,84.05,246.75,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/snellMTBBlackGolfBall.jpg,Snell MTB Black,7.903225806,6.960784314,9.172335601,9.987593052,6.62345679,orange,89,12.93,2584,88.2,247.63,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/snellMTBXGolfBall.jpg,Snell MTB X,9.032258065,6.764705882,7.68707483,10,7.864197531,orange,96,12.91,2453,88.23,249.64,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/srixonQStarTourGolfBall.jpeg,Srixon Q-Star Tour,5.161290323,8.62745098,5.793650794,8.639371381,7.475308642,blue,72,13.1,2286,84.94,249.01,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/srixonZStarGolfBall.jpeg,Srixon Z-Star,6.612903226,10,5,8.639371381,7.864197531,blue,81,13.24,2216,84.94,249.64,,,,,,
http://golf-eq.com/wp-content/uploads/2022/02/srixonZStarXvBall.jpeg,Srixon Z-Star XV,9.032258065,6.764705882,6.609977324,9.251447477,8.104938272,blue,96,12.91,2358,86.42,250.03,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/taylormadeTp5GolfBall.jpeg,TaylorMade TP5,7.580645161,5,8.492063492,9.156327543,7.12345679,maroon,87,12.73,2524,86.19,248.44,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/taylormadeTp5xGolfBall.jpeg,TaylorMade TP5x,8.225806452,7.352941176,7.267573696,8.626964433,9.160493827,maroon,91,12.97,2416,84.91,251.74,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/titleistAvxGolfBall.jpeg,Titleist AVX,6.451612903,7.254901961,6.439909297,7.320099256,7.327160494,red,80,12.96,2343,81.75,248.77,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/titleistProv1Golfball.jpeg,Titleist ProV1,7.580645161,7.647058824,6.281179138,5,5.512345679,red,87,13.06,2329,76.14,245.83,,,,,,
http://golf-eq.com/wp-content/uploads/2022/02/titleistProv1xBall.jpeg,Titleist ProV1x,9.193548387,8.235294118,8.174603175,8.920595533,8.141975309,red,97,13,2496,85.62,250.09,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/titleistProv1xLeftDashGolfBall.jpeg,Titleist ProV1x Left Dash,10,7.156862745,7.199546485,7.936311001,6.345679012,red,102,12.95,2410,83.24,247.18,,,,,,
http://golf-eq.com/wp-content/uploads/2022/03/titleistTourSpeedGolfBall.jpeg,Titleist Tour Speed,6.129032258,9.901960784,5.204081633,7.799834574,6.839506173,red,78,13.23,2234,82.91,247.98,,,,,,
